場所,ファイル名,言語,有効行(①),コメント行(②),空白行(③),合計行(①＋②＋③)
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\templates\default,bbs_view_main_init.html,HTML,33,1,6,40
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\templates\default,bbs_view_main_init_operation.html,HTML,45,1,1,47
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\templates\default,bbs_view_main_post.html,HTML,30,1,5,36
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\templates\default,bbs_view_main_post_list.html,HTML,17,1,1,19
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\templates\default,bbs_view_main_post_list_move.html,HTML,30,1,0,31
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\templates\default,bbs_view_main_subject.html,HTML,37,1,6,44
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\templates\default,bbs_view_main_thread.html,HTML,46,1,6,53
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\templates\default,bbs_view_visible_row_option.html,HTML,9,1,0,10
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\update,Update.class.php,PHP,116,18,9,143
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\validator,Validator_AuthorityValue.class.php,PHP,20,18,5,43
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\validator,Validator_BbsCount.class.php,PHP,22,18,5,45
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\validator,Validator_BbsExists.class.php,PHP,39,18,9,66
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\validator,Validator_BbsView.class.php,PHP,40,18,8,66
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\validator,Validator_Expand.class.php,PHP,27,18,9,54
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\validator,Validator_MobileBlock.class.php,PHP,25,35,6,66
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\validator,Validator_PostEntry.class.php,PHP,46,18,12,76
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\validator,Validator_PostExists.class.php,PHP,16,18,3,37
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\validator,Validator_PostView.class.php,PHP,19,18,4,41
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\validator,Validator_Vote.class.php,PHP,14,18,4,36
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\view\admin\search,Search.class.php,PHP,77,24,10,111
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\view\edit\entry,Entry.class.php,PHP,26,17,9,52
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\view\edit\list,List.class.php,PHP,42,18,13,73
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\view\edit\style,Style.class.php,PHP,12,15,4,31
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\view\main\init,Init.class.php,PHP,112,25,20,157
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\view\main\post,Post.class.php,PHP,30,18,10,58
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\view\main\post\body,Body.class.php,PHP,18,19,7,44
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\view\main\post\edit,Edit.class.php,PHP,22,16,6,44
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\view\main\post\list,List.class.php,PHP,41,20,10,71
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\view\main\post\move,Move.class.php,PHP,26,18,9,53
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\view\mobile\init,Init.class.php,PHP,12,15,4,31
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\view\mobile\post\add,Add.class.php,PHP,19,16,5,40
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\view\mobile\post\delete,Delete.class.php,PHP,11,14,3,28
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\view\mobile\post\main,Main.class.php,PHP,41,21,10,72
C:\Users\hokada\Desktop\NetCommons2-develop\html\webapp\modules\bbs\view\mobile\post\reply,Reply.class.php,PHP,18,15,4,37
,,SUM,4362,1153,693,6208
