場所,ファイル名,言語,有効行(①),コメント行(②),空白行(③),合計行(①＋②＋③)
Config\Migration,1418196036_bbses.php,PHP,145,43,8,196
Config\Schema,schema.php,PHP,93,45,10,148
Controller,BbsAuthoritySettingsController.php,PHP,59,45,17,121
Controller,BbsCommentsController.php,PHP,275,133,78,486
Controller,BbsesAppController.php,PHP,285,136,63,484
Controller,BbsesController.php,PHP,183,109,54,346
Controller,BbsFrameSettingsController.php,PHP,52,34,14,100
Controller,BbsPostsController.php,PHP,235,113,60,408
Model,Bbs.php,PHP,105,63,16,184
Model,BbsesAppModel.php,PHP,5,16,4,25
Model,BbsFrameSetting.php,PHP,99,57,10,166
Model,BbsPost.php,PHP,175,96,30,301
Model,BbsPostsUser.php,PHP,136,63,22,221
Test\Case,AllBbsesTest.php,PHP,11,18,2,31
Test\Case\Controller,BbsAuthoritySettingsControllerTest.php,PHP,17,19,4,40
Test\Case\Controller,BbsCommentsControllerTest.php,PHP,17,19,4,40
Test\Case\Controller,BbsesAppTest.php,PHP,151,69,20,240
Test\Case\Controller,BbsesControllerTest.php,PHP,17,19,4,40
Test\Case\Controller,BbsFrameSettingsControllerTest.php,PHP,17,19,4,40
Test\Case\Controller,BbsPostsControllerTest.php,PHP,17,19,4,40
Test\Case\Model,BbsAppModelTest.php,PHP,51,39,8,98
Test\Case\Model,BbsFrameSettingTest.php,PHP,19,28,6,53
Test\Case\Model,BbsPostsUserTest.php,PHP,19,28,6,53
Test\Case\Model,BbsPostTest.php,PHP,19,28,6,53
Test\Case\Model,BbsTest.php,PHP,24,42,8,74
Test\Fixture,BbsFixture.php,PHP,50,19,5,74
Test\Fixture,BbsFrameSettingFixture.php,PHP,32,19,5,56
Test\Fixture,BbsPostFixture.php,PHP,44,19,5,68
Test\Fixture,BbsPostsUserFixture.php,PHP,34,19,5,58
Test\Fixture,BlockFixture.php,PHP,43,22,5,70
Test\Fixture,CommentFixture.php,PHP,32,22,5,59
Test\Fixture,FrameFixture.php,PHP,70,22,5,97
Test\Fixture,PluginFixture.php,PHP,36,22,5,63
Test\Fixture,UserAttributesUserFixture.php,PHP,33,17,5,55
Test\Fixture,UserFixture.php,PHP,62,17,5,84
View\BbsAuthoritySettings,edit.ctp,CTP言語,81,1,13,95
View\Bbses,edit.ctp,CTP言語,81,1,13,95
View\Bbses\json,add.ctp,CTP言語,5,8,3,16
View\BbsFrameSettings,edit.ctp,CTP言語,81,1,13,95
View\BbsPosts\json,add.ctp,CTP言語,5,9,2,16
View\BbsPosts\json,edit.ctp,CTP言語,5,9,2,16
View\Elements,approving_buttons.ctp,CTP言語,29,1,9,39
View\Elements,comment_status_label.ctp,CTP言語,14,9,5,28
View\Elements\BbsAuthoritySettings,auth_setting.ctp,CTP言語,154,1,5,160
View\Elements\BbsComments,reference_posts.ctp,CTP言語,25,1,0,26
View\Elements\Bbses,edit_form.ctp,CTP言語,74,1,6,81
View\Elements\BbsFrameSettings,frame_setting.ctp,CTP言語,34,1,2,37
View\Elements\BbsPosts,post_form.ctp,CTP言語,54,1,5,60
webroot\js,bbses.js,JavaScript,78,12,42,132
,,M,520,295,,815
,,V,642,44,,686
,,C,1089,570,,1659
,,JS,78,12,,90
,,その他,238,88,,326
,,合計,2567,1009,,3576
